-70.8097 -69.1567 40.9436 41.8688 4.9842e+08 8.33634e+07 1.75467e+06 1.05237e+06 527886 91939.2 670666 2476.59 165953 1.10805e+06 3.20516e+07 1.01388e+06 285.831 3.00419e+07 43127.3 18.7392 43997.5 15084.8 1.48105e+08 169
-68.4247 -67.6393 40.3211 41.8531 169809 62267 552.284 1342.91 0 -nan -nan -nan -nan 11 20648 7 0 -nan -nan -nan -nan -nan 39258 13
-67.7073 -65.8584 41.3543 42.7408 172020 63128.7 553.668 1283.72 0 -nan -nan -nan -nan 28 20632 8 0 -nan -nan -nan -nan -nan 39923 40
-68.6076 -68.4393 41.5275 41.8174 170738 62697.9 531.797 1347.19 0 -nan -nan -nan -nan 24 20633 4 0 -nan -nan -nan -nan -nan 39279 4
-68.1606 -67.2975 39.8578 41.8367 181682 64692.1 535.592 1446.44 0 -nan -nan -nan -nan 28 20641 16 0 -nan -nan -nan -nan -nan 42882 10
-68.1293 -66.5372 40.511 42.328 168984 62020.5 527.688 1282.72 0 -nan -nan -nan -nan 20 20641 5 0 -nan -nan -nan -nan -nan 38194 6
-68.2009 -68.036 41.5119 43.365 172610 63363.4 523.284 1289.79 0 -nan -nan -nan -nan 25 20641 11 0 -nan -nan -nan -nan -nan 40245 23
-69.3746 -67.7865 40.168 42.1537 169985 62108.5 516.552 1223.43 0 -nan -nan -nan -nan 15 20657 6 0 -nan -nan -nan -nan -nan 38448 6
-69.4763 -69.028 42.0218 42.5161 173093 63360.3 533.241 1306.42 0 -nan -nan -nan -nan 17 20637 9 0 -nan -nan -nan -nan -nan 40445 116
-68.5643 -66.9648 41.394 42.5309 170682 62645 531.207 1278.23 0 -nan -nan -nan -nan 19 20647 9 0 -nan -nan -nan -nan -nan 39132 6
-69.617 -68.9018 40.8499 41.8957 176089 64584.9 546.313 1343.49 0 -nan -nan -nan -nan 23 20641 14 0 -nan -nan -nan -nan -nan 42347 119
-68.5 -67.9405 41.3458 42.3464 172729 63437.2 511.539 1360.8 0 -nan -nan -nan -nan 25 20644 8 0 -nan -nan -nan -nan -nan 40346 5
-68.1673 -67.0717 42.1205 42.1949 174625 63776.7 544.765 1362.94 0 -nan -nan -nan -nan 29 20643 12 0 -nan -nan -nan -nan -nan 41118 6
-68.4843 -67.8453 41.0714 41.6352 171124 62780.2 532.332 1308.63 0 -nan -nan -nan -nan 23 20646 8 0 -nan -nan -nan -nan -nan 39389 6
-68.2731 -68.0667 40.6672 42.4291 173873 64460.3 550.787 1338.28 0 -nan -nan -nan -nan 74.5615 20944 11 0 19833 -nan -nan -nan -nan 40107 58
-68.7594 -68.6252 42.1756 42.6444 207296 67416.9 798.048 2634.23 94.605 -nan -nan -nan -nan -nan 20607 7 0 19830 -nan -nan -nan -nan 40106 67
-70.1647 -68.4782 40.9399 42.8565 1.08168e+08 1.49417e+07 323577 11618.9 146302 -nan -nan -nan -nan -nan 7.97922e+06 203057 36.4855 6.56786e+06 9796.36 0 10560 4316.83 3.20037e+07 121
-69.6673 -69.1861 41.9876 42.432 201891 73505 754 1346 123 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 45723 8
-69.1278 -68.3865 40.7596 41.6591 176619 73512 544 1315 5 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 38680 4
-69.2088 -68.1647 41.5589 41.9391 184612 73525 567 1302 4 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 41006 7
-68.2533 -67.7314 41.101 42.5 177159 73504 569 1335 4 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 38750 43
-68.2384 -66.8584 42.2222 42.8873 176518 73490 551 1311 3 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 38559 7
-70.6205 -68.9992 41.301 42.4441 4.00264e+08 6.94538e+07 1.2531e+06 151814 422640 13445.2 538448 126.526 123834 900017 2.23759e+07 727013 241.229 2.19479e+07 32459.7 0 33603 15522.7 1.18855e+08 173
-68.7997 -68.7262 41.3779 41.8698 177120 64674.3 488.363 1370.46 0 -nan -nan -nan -nan -nan -nan -nan 3 19710 4 -nan -nan -nan 41511 11
-70.0322 -68.5445 42.1409 42.1638 211268 78033.2 563.315 1629.75 0 -nan -nan -nan -nan -nan -nan -nan 0 23406 7 -nan -nan -nan 61874 37
-68.788 -66.9157 40.3031 41.7813 171660 62929.6 461.424 1306.28 2.21792 -nan -nan -nan -nan -nan -nan -nan 0 19716 5 -nan -nan -nan 37917 6
-68.4836 -67.0532 40.8812 41.7268 171982 63111.5 438.18 1324.45 0 -nan -nan -nan -nan -nan -nan -nan 0 19711 4 -nan -nan -nan 38250 7
-68.6701 -68.0129 41.1648 42.6474 173401 62256.4 452.759 1259.82 0 -nan -nan -nan -nan -nan -nan -nan 0 19712 5 -nan -nan -nan 36897 4
-68.9896 -68.4882 42.1429 44.0551 614457 228749 1718.92 4857.95 0 -nan -nan -nan -nan -nan -nan -nan 2.78564 94938 114 0 -nan -nan 301379 31
-69.6171 -68.7409 42.0448 42.2275 190739 65795.5 642.75 1936.49 38.8278 -nan -nan -nan -nan -nan -nan -nan -nan 19684 3 0 -nan -nan 37221 6
-68.7741 -68.4112 42.242 43.4074 177912 64850.9 479.674 1364.05 0 -nan -nan -nan -nan -nan -nan -nan -nan 19678 4 0 -nan -nan 40712 7
-68.8036 -67.7772 41.0455 41.5767 173227 63563.2 462.958 1335.54 0 -nan -nan -nan -nan -nan -nan -nan -nan 19688 3 0 -nan -nan 38900 11
-70.6527 -69.3501 41.2668 41.5915 8.18528e+07 1.00844e+07 232269 5033.29 113270 -nan -nan -nan 17296.2 -nan -nan -nan -nan 5.35506e+06 11158.4 4.34567 6799.3 3434.53 2.41978e+07 9
-68.3378 -66.3871 41.958 42.4867 227142 73608 724 1471 126 405.984 -nan -nan 151 -nan -nan -nan -nan -nan -nan -nan -nan -nan 46725 12
