3436 3484 88565 88600 3.86174e+07 1.60383e+07 353402 10981 177249 7275.46 162699 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1.14989e+07 
2215 2275 83092 83171 3.83716e+08 1.24787e+07 333883 9883.31 155568 5545.51 156681 199.66 32690.5 327720 5.1586e+06 185476 70.9228 7.7489e+06 44914.1 4.75829 43501.2 37976.1 1.13457e+08 
5803 5829 81540 81558 3.37635e+08 1.13456e+07 300144 10694.7 141667 6012.58 138155 161.386 28275.7 280677 4.47903e+06 157140 112.241 4.52123e+06 38035.3 0 36796.4 32769.9 9.97025e+07 
8840 8883 89548 89595 3.93908e+08 1.22853e+07 330589 7937.26 187499 11595.7 183367 316.665 32447 330620 5.14056e+06 184467 43.6146 5.22515e+06 43785.5 33.3872 43879.4 37354.3 1.16296e+08 
5544 5630 88692 88783 4.08765e+08 1.3088e+07 354188 11170.3 170464 6418.17 166454 190.485 33634.6 347735 5.49485e+06 199658 24.8932 8.12537e+06 45038.2 0 44093.3 38268.8 1.20769e+08 
3055 3072 84004 84066 3.92434e+08 1.25015e+07 337108 10717.3 157003 4769.42 180790 283.225 39757.9 350496 5.20539e+06 187257 32.5908 5.24282e+06 43501.4 0 42615 38843.6 1.15865e+08 
3397 3471 80928 80934 3.58354e+08 1.75281e+07 339509 11523 152085 6361.39 149099 162.068 29564.2 299112 4.75101e+06 167963 39.6751 4.55355e+06 37422.8 0 39788.3 34118.7 1.05782e+08 
6416 6507 88775 88866 3.94048e+08 1.27843e+07 342633 10094 166857 13360.4 193778 272.729 41207.7 341432 5.28158e+06 190664 25.4485 5.36198e+06 43452 22.6798 42611.7 37970.9 1.16322e+08 
3198 3250 80747 80824 3.58459e+08 1.14212e+07 302436 11022.6 146779 5827.11 149304 165.439 30387.1 302840 4.74586e+06 170105 52.9125 4.82879e+06 40642 0 41180.4 33614.4 1.05805e+08 
9807 9870 88486 88559 3.72893e+08 1.17727e+07 318397 13016.8 150887 5600.67 153272 123.909 41202 344512 6.78459e+06 192595 13.7657 4.90123e+06 39810.8 0 39949.1 36721.3 1.10108e+08 
3277 3347 87571 87649 3.7264e+08 1.37427e+07 371569 15415.3 192894 11372.9 186778 113.491 35485.5 343769 5.41351e+06 192644 172.856 5.5872e+06 48880.8 0 47888.6 42769.1 1.1002e+08 
