5606 5681 67557 67583 8.38634e+06 3.09809e+06 37716.5 2814.3 91491 5059 91498 85.0718 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.76901e+06 
5991 6072 69782 69808 1.98547e+08 8.2058e+06 215927 6880.45 103485 3921.04 99343.3 62.5008 20062.8 199775 3.16565e+06 107114 5.44988 2.86856e+06 61168.4 0 24551.2 23410.8 5.8778e+07 
318 397 64076 64157 2.29335e+08 1.32608e+07 231863 14612.3 105834 3612.77 98226.6 93.6278 20700.5 201114 3.15174e+06 113829 8.50856 3.18752e+06 26235.3 0 25738.6 23256.8 6.80561e+07 
2312 2335 62769 62774 2.01982e+08 7.1351e+06 189460 4847.68 88085.8 4086.18 87085.9 209.48 35557.7 229040 4.66752e+06 118264 14.9367 2.91589e+06 23655.7 0 23243.4 21524.8 5.97346e+07 
8157 8216 61612 61704 1.5364e+08 6.06968e+06 156926 767419 0 17269.1 84253.1 198.867 16747.5 130940 2.09658e+06 77905.7 22.9304 2.38025e+06 19833.6 0 21068.2 16945.9 4.58385e+07 
3811 3889 66430 66480 2.26958e+08 7.97871e+06 206041 9001.65 96441.9 3611.74 96464.6 155.516 22013.4 196885 3.04022e+06 112352 54.618 3.13145e+06 25298.4 37.2403 26812.7 23428.9 6.72098e+07 
6700 6786 67306 67401 2.14207e+08 7.40215e+06 194207 6842.22 93195.2 11891 113262 330.249 22903.6 181709 2.91723e+06 104331 7.91502 2.9602e+06 23650.2 0 22789.2 21111 6.33044e+07 
1628 1651 66270 66312 2.33695e+08 8.19554e+06 225660 14418.4 119711 9635.62 112492 73.3754 20061.7 199639 3.20409e+06 114361 38.8404 3.37778e+06 27752.7 0 28231.7 24521.4 6.90297e+07 
6886 6969 66400 66454 2.07984e+08 7.00906e+06 183947 6111.67 88044.1 3122.9 88409.5 61.5887 18290 181459 3.06958e+06 136994 496.973 4.48248e+06 22043.2 0 22916.6 21568.1 6.15561e+07 
7548 7583 61769 61787 1.69029e+08 5.83476e+06 156184 6504.02 74419.1 4202.97 70840.1 -nan -nan 200412 3.81901e+06 94969.8 22.6656 2.30301e+06 19452.1 0 19197.6 17510.2 4.9988e+07 
6220 6265 67337 67382 2.19599e+08 6.91264e+06 187743 6679.38 103855 10343.6 113057 223.728 20103.4 191654 3.08443e+06 108417 0 2.90533e+06 23266.3 0 23841.6 21059.6 6.48713e+07 
7553 7582 62104 62154 1.76052e+08 8.75692e+06 170974 7142.38 72927.5 2808.41 72952.6 52.2444 14850.7 148962 2.40431e+06 86653.2 181.019 2.53851e+06 26021.8 -nan 45589.3 17175.3 5.22085e+07 
2130 2227 68136 68201 2.56474e+08 8.19077e+06 218383 8496.28 104905 3711.89 104831 80.7171 21616.2 221783 3.64414e+06 125019 19.2459 4.72419e+06 29597.1 43.4472 28469.7 24254.9 7.59313e+07 
3475 3529 68093 68165 2.42344e+08 7.94435e+06 209299 8886.6 102114 3705.26 106623 166.032 24552.3 212475 3.29081e+06 122506 13.4581 3.35892e+06 28049.3 36.5927 26094 23286.2 7.17605e+07 
1948 2019 66858 66877 2.51976e+08 8.02958e+06 217932 4684 107387 8847.8 118209 499.219 28901.7 211449 3.35367e+06 119461 13.9676 3.36531e+06 27440.1 0 28425.8 24541.4 7.44776e+07 
1589 1624 66815 66891 2.50754e+08 8.34443e+06 241387 10998.2 118673 8853.47 105549 74.0826 21657.1 209121 3.38003e+06 121374 37.0334 3.35669e+06 28150.4 0 26605 23546.2 7.40465e+07 
1023 1025 63170 63208 2.26852e+08 7.48001e+06 226889 13664 109756 9592.37 97468.7 67.03 18911 189617 2.9773e+06 105997 29.3167 3.08785e+06 25419.9 0 24700 22051.2 6.69917e+07 
5982 6000 65246 65265 2.04848e+08 1.80029e+07 229681 15604.7 100423 7281.13 86690.2 64.5309 18199 172429 2.76715e+06 97197.4 7.58932 2.70575e+06 22615.9 0 23836.1 22192.1 6.06973e+07 
